ID,DIS,VN,HH,B01,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18A,B18B,B19,B20A,B20B,member_id,B05_bin,strata,cluster,PVO,HHWT,male_adult,female_adult,child,education_level
416,1,11,1,1,1,1,40,2,997,997,997,1,2,1,997,997,997,997,2,997, ,997,997, ,1110101,9,21,111,1,35.0729166666667,1,0,0,0
416,1,11,1,2,2,2,30,1,997,997,1,1,1,1,997,997,997,997,2,997, ,997,997, ,1110102,7,21,111,1,35.0729166666667,0,1,0,0
416,1,11,1,3,3,1,8,2,997,997,997,2,2,997,1,2,1,1,1,1,2,1,1,1,1110103,2,21,111,1,35.0729166666667,0,0,1,1
416,1,11,1,4,3,2,7,2,997,997,997,2,2,997,1,2,1,1,2,997, ,997,997, ,1110104,2,21,111,1,35.0729166666667,0,0,1,0
416,1,11,1,5,3,2,6,2,997,997,997,997,997,997,2,997,1,1,1,6,2,1, ,1,1110105,2,21,111,1,35.0729166666667,0,0,1,6
416,1,11,1,6,3,2,2,2,1,2,997,997,997,997,1,2,1,1,997,997, ,997,997, ,1110106,1,21,111,1,35.0729166666667,0,0,1,997
416,1,11,1,7,3,1,16,2,997,997,997,2,2,4,1,2,1,1,1,2,1,1,1,7,1110107,4,21,111,1,35.0729166666667,0,0,1,2
417,1,11,2,1,1,1,34,2,997,997,997,1,2,1,997,997,997,997,1,1,7,997,997, ,1110201,7,21,111,1,35.0729166666667,1,0,0,1
417,1,11,2,2,2,2,23,1,997,997,1,1,2,1,997,997,997,997,2,997, ,997,997, ,1110202,5,21,111,1,35.0729166666667,0,1,0,0
417,1,11,2,3,3,1,1,2,1,2,997,997,997,997,1,2,1,1,997,997, ,997,997, ,1110203,1,21,111,1,35.0729166666667,0,0,1,997
417,1,11,2,4,3,2,0,2,1,2,997,997,997,997,1,2,1,1,997,997, ,997,997, ,1110204,1,21,111,1,35.0729166666667,0,0,1,997
419,1,11,4,1,1,1,32,2,997,997,997,1,1,1,997,997,997,997,2,997, ,997,997, ,1110401,7,21,111,1,35.0729166666667,1,0,0,0
419,1,11,4,2,2,2,25,1,997,997,1,1,2,1,997,997,997,997,2,997, ,997,997, ,1110402,6,21,111,1,35.0729166666667,0,1,0,0
419,1,11,4,3,3,1,7,2,997,997,997,2,2,997,1,2,1,1,1,1,1,2,997, ,1110403,2,21,111,1,35.0729166666667,0,0,1,1
419,1,11,4,4,3,2,5,2,1,2,997,997,997,997,1,2,1,1,1,1,1,2,997, ,1110404,2,21,111,1,35.0729166666667,0,0,1,1
419,1,11,4,5,3,2,3,2,1,2,997,997,997,997,1,2,1,1,997,997, ,997,997, ,1110405,1,21,111,1,35.0729166666667,0,0,1,997
419,1,11,4,6,3,1,0,2,1,2,997,997,997,997,1,2,1,1,997,997, ,997,997, ,1110406,1,21,111,1,35.0729166666667,0,0,1,997
420,1,11,5,1,1,1,42,2,997,997,997,1,2,1,997,997,997,997,2,997, ,997,997, ,1110501,9,21,111,1,35.0729166666667,1,0,0,0
420,1,11,5,2,2,2,29,2,997,997,1,1,1,1,997,997,997,997,2,997, ,997,997, ,1110502,6,21,111,1,35.0729166666667,0,1,0,0
420,1,11,5,3,3,2,6,2,997,997,997,997,997,997,1,2,1,1,2,997, ,997,997, ,1110503,2,21,111,1,35.0729166666667,0,0,1,0
420,1,11,5,4,3,1,4,2,1,2,997,997,997,997,1,2,1,1,997,997, ,997,997, ,1110504,1,21,111,1,35.0729166666667,0,0,1,997
420,1,11,5,5,3,2,2,2,1,2,997,997,997,997,1,2,1,1,997,997, ,997,997, ,1110505,1,21,111,1,35.0729166666667,0,0,1,997
420,1,11,5,6,3,1,0,2,1,2,997,997,997,997,1,2,1,1,997,997, ,997,997, ,1110506,1,21,111,1,35.0729166666667,0,0,1,997
421,1,11,6,1,1,1,30,2,997,997,997,1,1,1,997,997,997,997,2,997, ,997,997, ,1110601,7,21,111,1,35.0729166666667,1,0,0,0
421,1,11,6,2,2,2,26,1,997,997,1,1,2,1,997,997,997,997,2,997, ,997,997, ,1110602,6,21,111,1,35.0729166666667,0,1,0,0
421,1,11,6,3,3,2,10,2,997,997,997,2,2,997,1,2,1,1,1,1,2,2,997, ,1110603,3,21,111,1,35.0729166666667,0,0,1,1
