ID,HH,VN,A03,A04,DIS,A13D,A13M,A13Y,A13IN,A14,A14_1,A14_2,A14_3,A14_4,A14_5,A17,A18,A19,A20,A20D,A20M,A20Y,B00H,B00M,B21H,B21M,F00H,F00M,F01A,F01B,F02,F04,F05,F06,F07,F08,F09,F10_1,F10_2,F10_3,F10_4,F10_5,F10_6,F10_7,F10_8,F10_9,F10A,F10B,F11,F11A,F11B,F11C,F11D,F12,F12A,F12B,F12C,F12D,F14,F15,F16,F17,F18H,F18M,J300H,J300M,J301A,J301B,J302,J303_1,J303_2,J303_3,J303_4,J303_5,J303_6,J303_7,J303_8,J303_9,J303_10,J304,J305H,J305M,G00H,G00M,G27H,G27M,C00H,C00M,C01A,C01B,C01C,C02,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22H,C22M,D00H,D00M,D66H,D66M,J100H,J100M,J101A,J101B,J102,J102A,J103,J104,J105,J106_1,J106_2,J106_3,J106_4,J106_5,J106_6,J107,J108,J109,J110_1,J110_2,J110_3,J110_4,J110_5,J110_6,J110_7,J110_8,J110_9,J110_10,J110_11,J110_12,J110_13,J110_14,J110_15,J111H,J111M,E00H,E00M,E01A,E01B,E02,E03A,E03B,E04,E05,E06,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31D,E31M,E31Y,E33H,E33M,E34,E36,E37,E38,E39,J500H,J500M,J501A,J501B,J502,J503,J504,J505_1,J505_2,J505_3,J505_4,J505_5,J505_6,J505_7,J505_8,J505_9,J505_10,J505_11,J505_12,J505_13,J505_14,J505_15,J506_1,J506_2,J506_3,J506_4,J506_5,J506_6,J506_7,J506_8,J506_9,J506_10,J507,J508H,J508M,AT_ID,AT_HH,AT_VN,AT_SH,AT_SM,AT_ANID,AT_AND,AT_ANM,AT_ANY,AT_SPID,AT_SPD,AT_SPM,AT_SPY,AT_FH,AT_FM,member_id,birth_date,int_date,wom_age,eligible_women,male_adult,female_adult,child,education_level,ed_level_none,ed_level_preprimary,ed_level_primary,ed_level_secondary,ed_level_higher,J1_count2_male,J1_count2_female,strata,cluster,PVO,HHWT,WMWT,WMWT_J5,J1WT,gendered_hh,male_adult_max,female_adult_max,child_max,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,CK,CL,HDDS,C1617,C1819,C2021,HHS,HHS_N,HHS_N2,improved_water,improved_sanitation,soap_water,critical_handwashing,critical_handwashing_cat,any_sanitation,J304_cat
1,6,6,31,27,4,25,2,2013,342,1,2,0,0,2,2,345, , ,4,9,4,2013,12,50,13,40,13,42,6,6,2,21,3,998,2,1,2,97,97,97,97,97,97,97,97,97,2, ,71,997, ,2, ,62,2, ,2, ,2, , ,2,13,53,13,53,6,6,2,1,2,5,6,8, , , , , ,1,13,56, , , , ,13,56,6,6,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,14,2,14,8,14,28,14,30,6,6,2,2,1,1,1,1,2, , , , ,1,4,2,1,9, , , , , , , , , , , , , ,14,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,53, , , , , ,10,53,6,6,2,1,1,1, , , , , , , , , , , , , , ,1, , , , , , , , , ,3,10,55,1,6,6,13,0,350,26,2,2013,345,26,2,2013,10,59,4060602, ,2/1/2013,999,0,0,1,0,0,1,0,0,0,0,0,1,21,406,2,48.5454545454545, , ,48.5454545454543,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,1,0,0,0,3,1,0,1
2,5,6,31,27,4,23,2,2013,334,1,1,1,0,1,1,345, , ,14,18,3,2013,11,0,11,27,11,30,5,6,1,21,3,10,1,2,2,97,97,97,97,97,97,97,97,97,2, ,71,997, ,2, ,62,2, ,2, ,1,1,3,2,11,37,11,38,5,6,1,1,2,7, , , , , , , ,1,11,40, , , , ,11,42,5,6,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,1,3,2, ,11,45,11,46,11,53,11,54,5,6,1,2,3, , ,1, , , , , ,1,5,2,2,4,5, , , , , , , , , , , , ,11,56,11,57,5,6,1,3,1973,40,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,27,2,2009,12,8,1,40,152.7,39.2,1,12,8,5,6,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,12,9,2,5,6,11,28,350,27,3,2013,345,27,3,2013,11,40,1060501,3/1/1973,2/1/2013,40,1,0,1,0,0,1,0,0,0,0,0,1,21,406,2,48.5454545454545,48.5454545454543,48.5454545454543,48.5454545454543,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,4,1,2,1,0,0,2,0,0,1
3,4,6,31,27,4,23,2,2013,359,1,2,2,2,1,2,345, , ,4,9,4,2013,12,0,12,25,12,27,4,6,2,21,1, ,1,2,2,97,97,97,97,97,97,97,97,97,2, ,71,997, ,2, ,71, , ,2, ,2, , ,2,12,33,12,33,4,6,2,1,2,5,6,8, , , , , ,2,12,34,12,35,12,48,12,49,4,6,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2, ,2, ,2, ,12,52,12,53,12,57,13,0,4,6,7,2,1,2,2,2, , , , , ,1,5,2,1,2,11, , , , , , , , , , , , ,13,35,13,38,4,6,7, ,1995,18,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,5,2011,13,42,7,18,165.5,50.45,1,13,43,4,6,7,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,13,44,3,4,6,13,57,350,15,3,2013,345,15,3,2013,10,54,4060407, ,2/1/2013,18,1,0,1,0,0,1,0,0,0,0,0,1,21,406,2,48.5454545454545,97.0909090909085,97.0909090909085,48.5454545454543,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,0,0
4,3,6,31,27,4,23,2,2013,342,1,2,2,0,3,2,345, , ,13,10,4,2013,12,0,13,11,13,12,3,6,2,21,3,40,1,1,2,97,97,97,97,97,97,97,97,97,2, ,71,997, ,2, ,71, , ,2, ,2, , ,2,13,39,13,39,3,6,2,1,2,4,8, , , , , , ,1,13,48, , , , ,13,48,3,6,2,1, , , , , , , , , , , , ,1,2,1,3,1,2,13,54,13,55,14,20,14,21,3,6,2,2,1,1,3,2, , , , , ,1,4,2,4,5,10, , , , , , , , , , , , ,14,30,14,31,3,6,2,5,1980,32,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,9,2012,14,42,2,32,163.7,53.65,1,14,42,3,6,2,1,1,1, , , , , , , , , , , , , , ,1, , , , , , , , , ,99,14,46,4,3,6,13,15,350,10,4,2013,345,18,4,2013,13,45,4060302,5/1/1980,2/1/2013,33,1,0,1,0,0,1,0,0,0,0,0,1,21,406,2,48.5454545454545,97.0909090909085,97.0909090909085,48.5454545454543,3,1,1,1, , , , , , , , , , , , , ,1,2,1,4,1,2,0,0,0,2,0,0,1
5,2,6,31,27,4,23,2,2013,334,1,2,1,0,2,1,345, , ,13,19,3,2013,11,40,12,15,12,16,2,6,1,21,3,15,1,2,2,97,97,97,97,97,97,97,97,97,2, ,71,997, ,2, ,71, , ,2, ,2, , ,2,12,24,12,25,2,6,2,1,2,5,7,8, , , , , ,1,12,27, , , , ,12,30,2,6,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2, ,2, ,2, ,12,35,13,12,13,22,13,23,2,6,2,2,1,1,1,6, , , , , , , , ,2,4,5, , , , , , , , , , , , ,13,27,13,30,2,6,2, ,1967,46,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,18,2,2008,13,38,2,46,164.5,47.1,1,13,39,2,6,2,2,1,11, , , , , , , , , , , , , , ,99, , , , , , , , , ,1,13,42,5,2,6,12,44,343,28,2,2013,345,28,2,2013,13,10,4060202, ,2/1/2013,46,1,0,1,0,0,1,0,0,0,0,0,1,21,406,2,48.5454545454545,48.5454545454543,48.5454545454543,48.5454545454543,3,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,1,0,1
6,1,6,31,27,4,23,2,2013,336,1,2,1,1,2,2,345, , ,15,18,3,2013,11,40,12,30,12,30,1,6,2,21,3,5,1,2,2,97,97,97,97,97,97,97,97,97,1,81,71,997, ,2, ,71, , ,2, ,2, , ,2,13,0,13,0,1,6,2,1,2,6, , , , , , , ,1,13,20,13,20,13,45,13,45,1,6,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,1,3,1,3,14,0,14,0,14,30,14,30,1,6,2,2,1,1,1,2, , , , , ,2,2,1,2,4,10, , , , , , , , , , , , ,14,48,14,50,1,6,2, , ,41,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,8,6,2012,15,10,2,41,163.8,49.55,1,15,10,1,6,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,15,20,6,1,6,12,18,350,5,3,2013,345,5,3,2013,12,37,4060102, ,2/1/2013,41,1,0,1,0,0,1,0,0,0,0,0,1,21,406,2,48.5454545454545,48.5454545454543,48.5454545454543,48.5454545454543,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,6,1,2,1,0,0,2,0,0,1
7,20,6,31,27,4,5,3,2013,342,1,2,1,2,2,2,345, , ,15,18,3,2013,12,14,12,33,12,33,20,6,2,21,3,998,1,2,2,97,97,97,97,97,97,97,97,97,2, ,71,997, ,2, ,71, , ,2, ,2, , ,2,12,35,12,35,20,6,2,1,2,4,6,8, , , , , ,1,12,37,12,40,12,51,12,51,20,6,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,3,1,3,1,2,13,7,13,7,14,5,14,5,20,6,2,2,1,2,1,1,2, , , , ,1,4,2,1,4,9, , , , , , , , , , , , ,14,14,14,16,20,6,2, , ,49,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , ,14,18,2,49,156.9,40.5,1,14,18,20,6,6,1,1,1, , , , , , , , , , , , , , ,1, , , , , , , , , ,99,14,22,7,20,6,13,10,350,5,3,2013,345,5,3,2013,13,53,4062002, ,3/1/2013,49,1,0,1,0,0,1,0,0,0,0,0,1,21,406,2,48.5454545454545,48.5454545454543,48.5454545454543,48.5454545454543,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,1,5,1,2,1,0,0,3,1,0,1
8,19,6,31,27,4,1,3,2013,334,1,1,1,0,1,1,345, , ,15,25,3,2013,11,50,12,10,12,13,19,6,1,21,3,20,1,2,2,97,97,97,97,97,97,97,97,97,2, ,71,997, ,2, ,71, , ,2, ,1,1,2,2,12,17,12,18,19,6,1,1,2,6,8, , , , , , ,1,12,19, , , , ,12,19,19,6,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,12,22,12,23,12,32,1,33,19,6,1,2,1,1,1,1, , , , , ,1,5,2,2,4,5, , , , , , , , , , , , ,12,35,12,38,19,6,1, ,1971,42,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2009,12,55,1,42,168.6,49.25,1,12,56,19,6,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,12,57,8,19,6,12,48,343,6,3,2013,345,6,3,2013,13,5,4061901, ,3/1/2013,42,1,0,1,0,0,1,0,0,0,0,0,1,21,406,2,48.5454545454545,48.5454545454543,48.5454545454543,48.5454545454543,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,1,1,0,1,2,0,0,1
9,18,6,31,27,4,27,2,2013,359,1,1,1,0,2,2,345, , ,15,19,3,2013,11,20,11,33,11,33,18,6,2,21,3,15,1,2,2,97,97,97,97,97,97,97,97,97,2, ,71,997, ,2, ,71, , ,1,62,2, , ,2,11,39,11,39,18,6,2,1,2,4,5,7, , , , , ,8,11,42, , , , ,11,44,18,6,2,1, , , , , , , , , , , , ,1,2,1,2,1,1,11,49,11,50,12,17,12,17,18,6,2,2,2,3,3,2, , , , , ,1,2,2,4,9,10,11,13, , , , , , , , , , ,12,22,12,24,18,6,2,1,1983,30,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,10,4,2011,12,33,2,30,161.5,47.38,1,12,33,18,6,2,1,1,14, , , , , , , , , , , , , , ,1, , , , , , , , , ,99,12,36,9,18,6,13,5,350,15,4,2013,345,15,4,2013,13,17,4061802,1/1/1983,2/1/2013,30,1,0,1,0,0,1,0,0,0,0,0,1,21,406,2,48.5454545454545,48.5454545454543,48.5454545454543,48.5454545454543,3,1,1,1, , , , , , , , , , , , , ,1,1,1,3,1,1,1,0,0,4,1,0,0
10,17,6,31,27,4,1,3,2013,342,1,2,1,0,3,2,345, , ,4,25,3,2013,11,10,11,44,11,44,17,6,2,21,3,998,1,2,2,97,97,97,97,97,97,97,97,97,2, ,71,997, ,2, ,71, , ,2, ,2, , ,2,11,49,11,49,17,6,2,5, , , , , , , , , ,1,11,55, , , , ,11,57,17,6,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,12,5,12,21,12,35,12,36,17,6,2,2,1,2,2,2, , , , , ,1,4,2,1,2,9,13, , , , , , , , , , , ,12,37,12,37,17,6,2, , ,30,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,15,7,2010,12,40,2,30,171,55.14,1,12,40,17,6,2,1,1,1, , , , , , , , , , , , , , ,1, , , , , , , , , ,1,12,43,10,17,6,11,40,350,23,2,2013,345,23,2,2013,12,9,4061702, ,3/1/2013,30,1,0,1,0,0,1,0,0,0,0,0,1,21,406,2,48.5454545454545,48.5454545454543,48.5454545454543,48.5454545454543,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,1,1,0,0,1,0,0,1
